"","observed_month","prod_type","prod_process","n_hens","n_eggs","source"
"1",2016-07-31,"hatching eggs","all",57975000,1.147e+09,"ChicEggs-09-23-2016.pdf"
"2",2016-08-31,"hatching eggs","all",57595000,1142700000,"ChicEggs-10-21-2016.pdf"
"3",2016-09-30,"hatching eggs","all",57161000,1093300000,"ChicEggs-11-22-2016.pdf"
"4",2016-10-31,"hatching eggs","all",56857000,1126700000,"ChicEggs-12-23-2016.pdf"
"5",2016-11-30,"hatching eggs","all",57116000,1096600000,"ChicEggs-01-24-2017.pdf"
"6",2016-12-31,"hatching eggs","all",57750000,1132900000,"ChicEggs-02-28-2017.pdf"
"7",2017-01-31,"hatching eggs","all",57991000,1123400000,"ChicEggs-03-21-2017.pdf"
"8",2017-02-28,"hatching eggs","all",58286000,1014500000,"ChicEggs-04-21-2017.pdf"
"9",2017-03-31,"hatching eggs","all",58735000,1128500000,"ChicEggs-05-22-2017.pdf"
"10",2017-04-30,"hatching eggs","all",59072000,1097200000,"ChicEggs-06-23-2017.pdf"
"11",2017-05-31,"hatching eggs","all",59411000,1138500000,"ChicEggs-07-21-2017.pdf"
"12",2017-06-30,"hatching eggs","all",59952000,1115900000,"ChicEggs-08-22-2017.pdf"
"13",2017-07-31,"hatching eggs","all",60220000,1170800000,"ChicEggs-09-22-2017.pdf"
"14",2017-08-31,"hatching eggs","all",60060000,1167100000,"ChicEggs-10-23-2017.pdf"
"15",2017-09-30,"hatching eggs","all",60202000,1120900000,"ChicEggs-11-21-2017.pdf"
"16",2017-10-31,"hatching eggs","all",60164000,1.155e+09,"ChicEggs-12-22-2017.pdf"
"17",2017-11-30,"hatching eggs","all",59927000,1112700000,"ChicEggs-01-23-2018.pdf"
"18",2017-12-31,"hatching eggs","all",60242000,1140200000,"ChicEggs-02-27-2018.pdf"
"19",2018-01-31,"hatching eggs","all",60845000,1143100000,"ChicEggs-03-23-2018.pdf"
"20",2018-02-28,"hatching eggs","all",61396000,1045600000,"ChicEggs-04-23-2018.pdf"
"21",2018-03-31,"hatching eggs","all",61967000,1166900000,"ChicEggs-05-22-2018.pdf"
"22",2018-04-30,"hatching eggs","all",62656000,1141300000,"ChicEggs-06-22-2018.pdf"
"23",2018-05-31,"hatching eggs","all",62789000,1189900000,"ChicEggs-07-23-2018.pdf"
"24",2018-06-30,"hatching eggs","all",62428000,1161400000,"ChicEggs-08-21-2018.pdf"
"25",2018-07-31,"hatching eggs","all",61783000,1199700000,"ChicEggs-09-21-2018.pdf"
"26",2018-08-31,"hatching eggs","all",61242000,1197600000,"ChicEggs-10-22-2018.pdf"
"27",2018-09-30,"hatching eggs","all",60921000,1153700000,"ChicEggs-11-20-2018.pdf"
"28",2018-10-31,"hatching eggs","all",60889000,1184200000,"ChicEggs-12-21-2018.pdf"
"29",2018-11-30,"hatching eggs","all",60878000,1.146e+09,"ChicEggs-12-21-2018.pdf"
"30",2018-12-31,"hatching eggs","all",61300000,1176500000,"ChicEggs-02-26-2019.pdf"
"31",2019-01-31,"hatching eggs","all",62176000,1181200000,"ChicEggs-03-27-2019.pdf"
"32",2019-02-28,"hatching eggs","all",62757000,1083100000,"ChicEggs-04-22-2019.pdf"
"33",2019-03-31,"hatching eggs","all",62825000,1202400000,"ChicEggs-05-21-2019.pdf"
"34",2019-04-30,"hatching eggs","all",62900000,1165600000,"ChicEggs-06-21-2019.pdf"
"35",2019-05-31,"hatching eggs","all",63211000,1213100000,"ChicEggs-07-23-2019.pdf"
"36",2019-06-30,"hatching eggs","all",62987000,1173700000,"ChicEggs-08-23-2019.pdf"
"37",2019-07-31,"hatching eggs","all",62412000,1208100000,"ChicEggs-09-23-2019.pdf"
"38",2019-08-31,"hatching eggs","all",61893000,1199700000,"ChicEggs-10-22-2019.pdf"
"39",2019-09-30,"hatching eggs","all",61683000,1155400000,"ChicEggs-11-22-2019.pdf"
"40",2019-10-31,"hatching eggs","all",62135000,1204400000,"ChicEggs-12-23-2019.pdf"
"41",2019-11-30,"hatching eggs","all",62469000,1169900000,"ChicEggs-01-21-2020.pdf"
"42",2019-12-31,"hatching eggs","all",63024000,1.208e+09,"ChicEggs-02-28-2020.pdf"
"43",2020-01-31,"hatching eggs","all",64019000,1221400000,"ChicEggs-03-23-2020.pdf"
"44",2020-02-29,"hatching eggs","all",64384000,1154100000,"ChicEggs-04-21-2020.pdf"
"45",2020-03-31,"hatching eggs","all",64730000,1239900000,"ChicEggs-05-22-2020.pdf"
"46",2020-04-30,"hatching eggs","all",65044000,1203500000,"ChicEggs-06-22-2020.pdf"
"47",2020-05-31,"hatching eggs","all",64481000,1239100000,"ChicEggs-07-21-2020.pdf"
"48",2020-06-30,"hatching eggs","all",64251000,1207400000,"ChicEggs-08-21-2020.pdf"
"49",2020-07-31,"hatching eggs","all",64353000,1255200000,"ChicEggs-09-22-2020.pdf"
"50",2020-08-31,"hatching eggs","all",64223000,1257100000,"ChicEggs-10-23-2020.pdf"
"51",2020-09-30,"hatching eggs","all",63975000,1219800000,"ChicEggs-11-23-2020.pdf"
"52",2020-10-31,"hatching eggs","all",63728000,1254800000,"ChicEggs-12-22-2020.pdf"
"53",2020-11-30,"hatching eggs","all",64171000,1212900000,"ChicEggs-01-21-2021.pdf"
"54",2020-12-31,"hatching eggs","all",64883000,1253900000,"ChicEggs-02-26-2021.pdf"
"55",2021-01-31,"hatching eggs","all",66189000,1270200000,"ChicEggs-03-22-2021.pdf"
"56",2021-02-28,"hatching eggs","all",66882000,1.156e+09,"ChicEggs-04-22-2021.pdf"
"57",2021-03-31,"hatching eggs","all",67220000,1.295e+09,"ChicEggs-05-21-2021.pdf"
"58",2021-04-30,"hatching eggs","all",67483000,1267100000,"ChicEggs-06-22-2021.pdf"
"59",2021-05-31,"hatching eggs","all",67396000,1317800000,"ChicEggs-07-22-2021.pdf"
"60",2021-06-30,"hatching eggs","all",66666000,1265200000,"ChicEggs-08-23-2021.pdf"
"61",2021-07-31,"hatching eggs","all",65858000,1281700000,"ChicEggs-09-22-2021.pdf"
"62",2021-08-31,"hatching eggs","all",65316000,1278400000,"ChicEggs-10-22-2021.pdf"
"63",2021-09-30,"hatching eggs","all",64977000,1244200000,"ChicEggs-11-22-2021.pdf"
"64",2021-10-31,"hatching eggs","all",64898000,1285600000,"ChicEggs-12-21-2021.pdf"
"65",2021-11-30,"hatching eggs","all",6.5e+07,1243300000,"ChicEggs-01-19-2022.pdf"
"66",2021-12-31,"hatching eggs","all",66031000,1302700000,"ChicEggs-02-25-2022.pdf"
"67",2022-01-31,"hatching eggs","all",66671000,1308500000,"ChicEggs-03-21-2022.pdf"
"68",2022-02-28,"hatching eggs","all",67137000,1206800000,"ChicEggs-04-21-2022.pdf"
"69",2022-03-31,"hatching eggs","all",67095000,1339700000,"ChicEggs-05-20-2022.pdf"
"70",2022-04-30,"hatching eggs","all",66840000,1280200000,"ChicEggs-06-23-2022.pdf"
"71",2022-05-31,"hatching eggs","all",67098000,1.326e+09,"ChicEggs-07-21-2022.pdf"
"72",2022-06-30,"hatching eggs","all",66897000,1.277e+09,"ChicEggs-08-22-2022.pdf"
"73",2022-07-31,"hatching eggs","all",66592000,1313100000,"ChicEggs-09-21-2022.pdf"
"74",2022-08-31,"hatching eggs","all",66638000,1318400000,"ChicEggs-10-21-2022.pdf"
"75",2022-09-30,"hatching eggs","all",66366000,1272300000,"ChicEggs-11-21-2022.pdf"
"76",2022-10-31,"hatching eggs","all",66041000,1.302e+09,"ChicEggs-12-20-2022.pdf"
"77",2022-11-30,"hatching eggs","all",65958000,1251700000,"ChicEggs-01-20-2023.pdf"
"78",2022-12-31,"hatching eggs","all",66486000,1289200000,"ChicEggs-02-27-2023.pdf"
"79",2023-01-31,"hatching eggs","all",66952000,1295600000,"ChicEggs-03-23-2023.pdf"
"80",2023-02-28,"hatching eggs","all",67991000,1192300000,"ChicEggs-03-23-2023.pdf"
"81",2016-07-31,"table eggs","all",299669000,7350500000,"ChicEggs-09-23-2016.pdf"
"82",2016-08-31,"table eggs","all",300917000,7.409e+09,"ChicEggs-10-21-2016.pdf"
"83",2016-09-30,"table eggs","all",303270000,7204200000,"ChicEggs-11-22-2016.pdf"
"84",2016-10-31,"table eggs","all",305852000,7534700000,"ChicEggs-12-23-2016.pdf"
"85",2016-11-30,"table eggs","all",310728000,7468500000,"ChicEggs-01-24-2017.pdf"
"86",2016-12-31,"table eggs","all",318820000,7950400000,"ChicEggs-02-28-2017.pdf"
"87",2017-01-31,"table eggs","all",318109000,7903500000,"ChicEggs-03-21-2017.pdf"
"88",2017-02-28,"table eggs","all",316807000,7079800000,"ChicEggs-04-21-2017.pdf"
"89",2017-03-31,"table eggs","all",316147000,7.842e+09,"ChicEggs-05-22-2017.pdf"
"90",2017-04-30,"table eggs","all",314918000,7545900000,"ChicEggs-06-23-2017.pdf"
"91",2017-05-31,"table eggs","all",312321000,7730900000,"ChicEggs-07-21-2017.pdf"
"92",2017-06-30,"table eggs","all",310798000,7475700000,"ChicEggs-08-22-2017.pdf"
"93",2017-07-31,"table eggs","all",310552000,7730100000,"ChicEggs-09-22-2017.pdf"
"94",2017-08-31,"table eggs","all",311301000,7686200000,"ChicEggs-10-23-2017.pdf"
"95",2017-09-30,"table eggs","all",312364000,7376500000,"ChicEggs-11-21-2017.pdf"
"96",2017-10-31,"table eggs","all",314692000,7683700000,"ChicEggs-12-22-2017.pdf"
"97",2017-11-30,"table eggs","all",319506000,7635400000,"ChicEggs-01-23-2018.pdf"
"98",2017-12-31,"table eggs","all",322059000,7963900000,"ChicEggs-02-27-2018.pdf"
"99",2018-01-31,"table eggs","all",321410000,7841800000,"ChicEggs-03-23-2018.pdf"
"100",2018-02-28,"table eggs","all",322690000,7099800000,"ChicEggs-04-23-2018.pdf"
"101",2018-03-31,"table eggs","all",324545000,7.932e+09,"ChicEggs-05-22-2018.pdf"
"102",2018-04-30,"table eggs","all",324098000,7.665e+09,"ChicEggs-06-22-2018.pdf"
"103",2018-05-31,"table eggs","all",323536000,7932600000,"ChicEggs-07-23-2018.pdf"
"104",2018-06-30,"table eggs","all",323472000,7670400000,"ChicEggs-08-21-2018.pdf"
"105",2018-07-31,"table eggs","all",323170000,7900700000,"ChicEggs-09-21-2018.pdf"
"106",2018-08-31,"table eggs","all",323806000,7967900000,"ChicEggs-10-22-2018.pdf"
"107",2018-09-30,"table eggs","all",324913000,7759800000,"ChicEggs-11-20-2018.pdf"
"108",2018-10-31,"table eggs","all",326632000,8066500000,"ChicEggs-12-21-2018.pdf"
"109",2018-11-30,"table eggs","all",329614000,7922600000,"ChicEggs-12-21-2018.pdf"
"110",2018-12-31,"table eggs","all",331277000,8259100000,"ChicEggs-02-26-2019.pdf"
"111",2019-01-31,"table eggs","all",332613000,8275400000,"ChicEggs-03-27-2019.pdf"
"112",2019-02-28,"table eggs","all",336802000,7516500000,"ChicEggs-04-22-2019.pdf"
"113",2019-03-31,"table eggs","all",340855000,8424300000,"ChicEggs-05-21-2019.pdf"
"114",2019-04-30,"table eggs","all",339589000,8.16e+09,"ChicEggs-06-21-2019.pdf"
"115",2019-05-31,"table eggs","all",334526000,8346300000,"ChicEggs-07-23-2019.pdf"
"116",2019-06-30,"table eggs","all",329705000,7990800000,"ChicEggs-08-23-2019.pdf"
"117",2019-07-31,"table eggs","all",328072000,8200400000,"ChicEggs-09-23-2019.pdf"
"118",2019-08-31,"table eggs","all",329933000,8253900000,"ChicEggs-10-22-2019.pdf"
"119",2019-09-30,"table eggs","all",332574000,8034700000,"ChicEggs-11-22-2019.pdf"
"120",2019-10-31,"table eggs","all",335707000,8446600000,"ChicEggs-12-23-2019.pdf"
"121",2019-11-30,"table eggs","all",339123000,8328200000,"ChicEggs-01-21-2020.pdf"
"122",2019-12-31,"table eggs","all",341166000,8.601e+09,"ChicEggs-02-28-2020.pdf"
"123",2020-01-31,"table eggs","all",338062000,8486600000,"ChicEggs-03-23-2020.pdf"
"124",2020-02-29,"table eggs","all",332433000,7790900000,"ChicEggs-04-21-2020.pdf"
"125",2020-03-31,"table eggs","all",330713000,8294300000,"ChicEggs-05-22-2020.pdf"
"126",2020-04-30,"table eggs","all",327264000,7881800000,"ChicEggs-06-22-2020.pdf"
"127",2020-05-31,"table eggs","all",321698000,7860200000,"ChicEggs-07-21-2020.pdf"
"128",2020-06-30,"table eggs","all",317846000,7597800000,"ChicEggs-08-21-2020.pdf"
"129",2020-07-31,"table eggs","all",314852000,8014500000,"ChicEggs-09-22-2020.pdf"
"130",2020-08-31,"table eggs","all",315875000,8040500000,"ChicEggs-10-23-2020.pdf"
"131",2020-09-30,"table eggs","all",319593000,7810800000,"ChicEggs-11-23-2020.pdf"
"132",2020-10-31,"table eggs","all",322758000,8246900000,"ChicEggs-12-22-2020.pdf"
"133",2020-11-30,"table eggs","all",325239000,8114100000,"ChicEggs-01-21-2021.pdf"
"134",2020-12-31,"table eggs","all",326897000,8356400000,"ChicEggs-02-26-2021.pdf"
"135",2021-01-31,"table eggs","all",327095000,8260700000,"ChicEggs-03-22-2021.pdf"
"136",2021-02-28,"table eggs","all",327081000,7439500000,"ChicEggs-04-22-2021.pdf"
"137",2021-03-31,"table eggs","all",325956000,8248100000,"ChicEggs-05-21-2021.pdf"
"138",2021-04-30,"table eggs","all",322537000,7942700000,"ChicEggs-06-22-2021.pdf"
"139",2021-05-31,"table eggs","all",318179000,8065500000,"ChicEggs-07-22-2021.pdf"
"140",2021-06-30,"table eggs","all",317574000,7780800000,"ChicEggs-08-23-2021.pdf"
"141",2021-07-31,"table eggs","all",319072000,8101900000,"ChicEggs-09-22-2021.pdf"
"142",2021-08-31,"table eggs","all",319645000,8.135e+09,"ChicEggs-10-22-2021.pdf"
"143",2021-09-30,"table eggs","all",321345000,7945200000,"ChicEggs-11-22-2021.pdf"
"144",2021-10-31,"table eggs","all",324713000,8319700000,"ChicEggs-12-21-2021.pdf"
"145",2021-11-30,"table eggs","all",327167000,8122300000,"ChicEggs-01-19-2022.pdf"
"146",2021-12-31,"table eggs","all",326730000,8376200000,"ChicEggs-02-25-2022.pdf"
"147",2022-01-31,"table eggs","all",324235000,8266800000,"ChicEggs-03-21-2022.pdf"
"148",2022-02-28,"table eggs","all",321731000,7388300000,"ChicEggs-04-21-2022.pdf"
"149",2022-03-31,"table eggs","all",313264000,8030800000,"ChicEggs-05-20-2022.pdf"
"150",2022-04-30,"table eggs","all",302849000,7552900000,"ChicEggs-06-23-2022.pdf"
"151",2022-05-31,"table eggs","all",299414000,7663100000,"ChicEggs-07-21-2022.pdf"
"152",2022-06-30,"table eggs","all",298932000,7379400000,"ChicEggs-08-22-2022.pdf"
"153",2022-07-31,"table eggs","all",301611000,7.698e+09,"ChicEggs-09-21-2022.pdf"
"154",2022-08-31,"table eggs","all",305470000,7.79e+09,"ChicEggs-10-21-2022.pdf"
"155",2022-09-30,"table eggs","all",307203000,7.561e+09,"ChicEggs-11-21-2022.pdf"
"156",2022-10-31,"table eggs","all",308333000,7839200000,"ChicEggs-12-20-2022.pdf"
"157",2022-11-30,"table eggs","all",309266000,7627300000,"ChicEggs-01-20-2023.pdf"
"158",2022-12-31,"table eggs","all",309457000,7859700000,"ChicEggs-02-27-2023.pdf"
"159",2023-01-31,"table eggs","all",308173000,7756900000,"ChicEggs-03-23-2023.pdf"
"160",2023-02-28,"table eggs","all",310940000,7.033e+09,"ChicEggs-03-23-2023.pdf"
"161",2016-08-31,"table eggs","cage-free (non-organic)",1.7e+07,397884291.428571,"PY20160919MCAGEFREE.PDF"
"162",2016-09-30,"table eggs","cage-free (non-organic)",1.7e+07,383774914.285714,"PY20161004MCAGEFREE.PDF"
"163",2016-10-31,"table eggs","cage-free (non-organic)",23500000,546374468.571429,"PY20161102MCAGEFREE.PDF"
"164",2016-11-30,"table eggs","cage-free (non-organic)",23500000,530864742.857143,"PY20161205MCAGEFREE.PDF"
"165",2016-12-31,"table eggs","cage-free (non-organic)",23500000,542733120,"PY20170109MCAGEFREE.PDF"
"166",2017-01-31,"table eggs","cage-free (non-organic)",23500000,550017411.428571,"PY20170206MCAGEFREE.PDF"
"167",2017-02-28,"table eggs","cage-free (non-organic)",24400000,515816640,"PY20170306MCAGEFREE.PDF"
"168",2017-03-31,"table eggs","cage-free (non-organic)",26100000,600757148.571429,"PY20170403MCAGEFREE.PDF"
"169",2017-04-30,"table eggs","cage-free (non-organic)",26600000,602490342.857143,"PY20170503MCAGEFREE.PDF"
"170",2017-05-31,"table eggs","cage-free (non-organic)",27300000,636840617.142857,"PY20170605MCAGEFREE.PDF"
"171",2017-06-30,"table eggs","cage-free (non-organic)",27300000,618344742.857143,"PY20170630MCAGEFREE.PDF"
"172",2017-07-31,"table eggs","cage-free (non-organic)",27500000,643637057.142857,"PY20170808MCAGEFREE.PDF"
"173",2017-08-31,"table eggs","cage-free (non-organic)",31700000,744395914.285714,"PY20170905MCAGEFREE.PDF"
"174",2017-09-30,"table eggs","cage-free (non-organic)",33500000,753750514.285714,"PY20171002MCAGEFREE.PDF"
"175",2017-10-31,"table eggs","cage-free (non-organic)",34700000,804085971.428571,"PY20171107MCAGEFREE.PDF"
